HOG	udiv_genes	LOC	txpt	GO_terms	Description
N5.HOG0000608	GJZJ01044934.1	129232144	XM_054866384	GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0000977 [Name: RNA polymerase II regulatory region sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	zinc finger protein 596-like
N5.HOG0000608	jg45330.t1	129232144	XM_054866384	GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0000977 [Name: RNA polymerase II regulatory region sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	zinc finger protein 596-like
N5.HOG0001114	GJZJ01227937.1	129232144	XM_054866384	GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0000977 [Name: RNA polymerase II regulatory region sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	zinc finger protein 596-like
N5.HOG0002345	GJZJ01027929.1	129220936	XM_054855372	GO:0006508 [Name: proteolysis]; GO:0004222 [Name: metalloendopeptidase activity]; GO:0008270 [Name: zinc ion binding]	astacin-like metalloprotease toxin 5
N5.HOG0002580	jg136.t1	129232075	XM_054866311	GO:0005737 [Name: cytoplasm]; GO:0080008 [Name: Cul4-RING E3 ubiquitin ligase complex]; GO:0005515 [Name: protein binding]	DDB1- and CUL4-associated factor 8-like
N5.HOG0003080	GJZJ01010460.1	129233173	XM_054867242	GO:0008254 [Name: 3'-nucleotidase activity]; GO:0046854 [Name: phosphatidylinositol phosphorylation]; GO:0012505 [Name: endomembrane system]	inositol monophosphatase 3-like
N5.HOG0003164	GJZJ01032723.1	129231611	XM_054865979	GO:0005886 [Name: plasma membrane]; GO:0031175 [Name: neuron projection development]	neuronal membrane glycoprotein M6-b-like
N5.HOG0003844	jg17558.t1	129218148	XM_054852365	GO:0007165 [Name: signal transduction]	uncharacterized LOC129218148
N5.HOG0003863	GJZJ01092202.1	129225884	XM_054860414	GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]; GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]	zinc finger protein Xfin-like
N5.HOG0003886	jg42348.t1	129229284	XM_054863558	GO:0003729 [Name: mRNA binding]; GO:0005730 [Name: nucleolus]; GO:0031123 [Name: RNA 3'-end processing]; GO:1990817 [Name: RNA adenylyltransferase activity]; GO:0031499 [Name: TRAMP complex]	terminal nucleotidyltransferase 4B-like
N5.HOG0003890	GJZJ01202439.1	129219841	XM_054854150	GO:0005506 [Name: iron ion binding]; GO:0020037 [Name: heme binding]; GO:0008395 [Name: steroid hydroxylase activity]; GO:0016705 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen]	cytochrome P450 3A8-like
N5.HOG0003890	GJZJ01072858.1	129219841	XM_054854150	GO:0005506 [Name: iron ion binding]; GO:0020037 [Name: heme binding]; GO:0008395 [Name: steroid hydroxylase activity]; GO:0016705 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen]	cytochrome P450 3A8-like
N5.HOG0004336	GJZJ01076883.1	129225190	XM_054859758	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0004344	jg31322.t1	129224428	XM_054858882	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0004539	GJZJ01260674.1	129221297	XM_054855757	GO:0005615 [Name: extracellular space]; GO:0004867 [Name: serine-type endopeptidase inhibitor activity]	BPTI/Kunitz domain-containing protein-like
N5.HOG0004598	GJZJ01201111.1	129220310	XM_054854708	GO:0004842 [Name: ubiquitin-protein transferase activity]; GO:0006996 [Name: organelle organization]; GO:0016567 [Name: protein ubiquitination]	Mitochondrial E3 ubiquitin protein ligase 1
N5.HOG0004598	GJZJ01201111.1	129231310	XM_054865599	GO:0052689 [Name: carboxylic ester hydrolase activity]; GO:0002084 [Name: protein depalmitoylation]; GO:0008474 [Name: palmitoyl-(protein) hydrolase activity]; GO:0005737 [Name: cytoplasm]	Acyl-protein thioesterase 1
N5.HOG0004722	jg42443.t1	129232337	XM_054866488	GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0018812 [Name: 3-hydroxyacyl-CoA dehydratase activity]; GO:0030497 [Name: fatty acid elongation]; GO:0042761 [Name: very long-chain fatty acid biosynthetic process]; GO:0030148 [Name: sphingolipid biosynthetic process]	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase-like
N5.HOG0004767	jg34880.t2	129235311	XM_054869047	GO:0000045 [Name: autophagosome assembly]; GO:0005776 [Name: autophagosome]; GO:0006995 [Name: cellular response to nitrogen starvation]; GO:0005829 [Name: cytosol]; GO:0000422 [Name: mitophagy]; GO:0016236 [Name: macroautophagy]; GO:0031625 [Name: ubiquitin protein ligase binding]; GO:0000421 [Name: autophagosome membrane]	microtubule-associated proteins 1A/1B light chain 3A-like
N5.HOG0005086	GJZJ01276944.1	129224276	XM_054858704	-	uncharacterized LOC129224276
N5.HOG0005131	GJZJ01265630.1	129222721	XM_054857253	GO:0005515 [Name: protein binding]	oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
N5.HOG0005560	jg21253.t1	129222322	XM_054856816	GO:0000776 [Name: kinetochore]; GO:0003676 [Name: nucleic acid binding]	G patch domain-containing protein 11-like
N5.HOG0005596	jg44865.t1	129232433	XM_054866578	GO:0006820 [Name: anion transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]	sialin-like
N5.HOG0005596	GJZJ01257769.1	129232433	XM_054866578	GO:0006820 [Name: anion transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]	sialin-like
N5.HOG0005597	jg40320.t1	129230599	XR_008581156	-	uncharacterized LOC129230599
N5.HOG0005597	jg40331.t1	129230599	XR_008581156	-	uncharacterized LOC129230599
N5.HOG0005597	jg40327.t1	129229740	XM_054864108	GO:0006820 [Name: anion transport]; GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]	putative inorganic phosphate cotransporter
N5.HOG0005597	jg40319.t1	129230719	XM_054865139	GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005597	jg40330.t1	129229378	XM_054863671	GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005597	GJZJ01161661.1	129229378	XM_054863671	GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005619	GJZJ01191001.1	129230719	XM_054865139	GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005631	GJZJ01039080.1	129219085	XM_054853404	-	SCO-spondin-like
