HOG	udiv_genes	LOC	txpt	GO_terms	Description
N5.HOG0004344	jg31322.t1	129224428	XM_054858882	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0004638	jg2094.t1	129228553	XM_054863236	GO:0006355 [Name: regulation of transcription, DNA-templated]; GO:0003676 [Name: nucleic acid binding]; GO:0031213 [Name: RSF complex]	histone-lysine N-methyltransferase SETD1B-like
N5.HOG0005151	GJZJ01114673.1	129217315	XM_054851595	GO:0005615 [Name: extracellular space]; GO:0031012 [Name: extracellular matrix]	protein artichoke-like
N5.HOG0005151	GJZJ01212919.1	129217314	XM_054851594	GO:0005886 [Name: plasma membrane]; GO:0005515 [Name: protein binding]	slit homolog 1 protein-like
N5.HOG0006044	GJZJ01076299.1	129218517	XM_054852808	-	arylsulfatase B-like
N5.HOG0006301	GJZJ01136408.1	129230641	XM_054865057	GO:0030155 [Name: regulation of cell adhesion]; GO:0061630 [Name: ubiquitin protein ligase activity]; GO:0016567 [Name: protein ubiquitination]	E3 ubiquitin-protein ligase Hakai-like
N5.HOG0009223	jg7311.t1	129228232	XM_054862897	GO:0006508 [Name: proteolysis]; GO:0070006 [Name: metalloaminopeptidase activity]; GO:0030145 [Name: manganese ion binding]; GO:0005737 [Name: cytoplasm]	cytosol aminopeptidase-like
N5.HOG0009785	GJZJ01257096.1	129218458	XM_054852735	GO:0050660 [Name: flavin adenine dinucleotide binding]; GO:0004499 [Name: N,N-dimethylaniline monooxygenase activity]; GO:0050661 [Name: NADP binding]	flavin-containing monooxygenase 5-like
N5.HOG0012052	jg42656.t1	129230625	XM_054865040	GO:0005581 [Name: collagen trimer]; GO:0005201 [Name: extracellular matrix structural constituent]	collagen alpha-2(IV) chain-like
N5.HOG0012052	GJZJ01116330.1	129230625	XM_054865040	GO:0005581 [Name: collagen trimer]; GO:0005201 [Name: extracellular matrix structural constituent]	collagen alpha-2(IV) chain-like
N5.HOG0012758	jg10135.t1	129220099	XM_054854439	GO:0003729 [Name: mRNA binding]; GO:0033962 [Name: cytoplasmic mRNA processing body assembly]; GO:0000932 [Name: P-body]; GO:0034063 [Name: stress granule assembly]	protein LSM14 homolog A-like
N5.HOG0013778	GJZJ01158675.1	129224428	XM_054858878	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0013778	GJZJ01237940.1	129224698	XM_054859245	GO:0005737 [Name: cytoplasm]	SEC14-like protein 3
N5.HOG0013778	GJZJ01027899.1	129224553	XM_054859029	GO:0005737 [Name: cytoplasm]	SEC14-like protein 4
N5.HOG0013778	jg31325.t1	129224111	XM_054858520	GO:0005737 [Name: cytoplasm]	SEC14-like protein 4
N5.HOG0013778	GJZJ01089946.1	129224111	XM_054858520	GO:0005737 [Name: cytoplasm]	SEC14-like protein 4
N5.HOG0013778	GJZJ01183551.1	129224430	XM_054858884	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0013778	GJZJ01277421.1	129224409	XM_054858858	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0014839	GJZJ01064778.1	129226052	XM_054860632	GO:0005737 [Name: cytoplasm]; GO:0003723 [Name: RNA binding]	heterogeneous nuclear ribonucleoprotein 27C-like
N5.HOG0016317	GJZJ01235000.1	129218263	XM_054852490	GO:0016491 [Name: oxidoreductase activity]	amine oxidase [flavin-containing]-like
N5.HOG0016909	GJZJ01249029.1	129230748	XM_054865180	GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	gastrula zinc finger protein XlCGF57.1-like
N5.HOG0016910	GJZJ01124814.1	129230748	XM_054865179	GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	gastrula zinc finger protein XlCGF57.1-like
N5.HOG0016911	GJZJ01156281.1	129230748	XM_054865181	GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	gastrula zinc finger protein XlCGF57.1-like
N5.HOG0018282	jg28973.t1	129220730	XM_054855162	-	uncharacterized LOC129220730
N5.HOG0021497	jg44090.t1	129230519	XM_054864923	GO:0005886 [Name: plasma membrane]	stomatin-like
N5.HOG0021741	GJZJ01104937.1	129217412	XM_054851710	GO:0004303 [Name: estradiol 17-beta-dehydrogenase activity]; GO:0005739 [Name: mitochondrion]; GO:0008210 [Name: estrogen metabolic process]; GO:0006631 [Name: fatty acid metabolic process]; GO:0008209 [Name: androgen metabolic process]	3-hydroxyacyl-CoA dehydrogenase type-2-like
